#: table_doi: 10.17182/hepdata.89443.v1/t2
#: name: Table 2
#: description: $\frac{\mathrm{d}N}{\mathrm{d}y}$ versus $y$ for $\mathrm{p}$,$\overline{\mathrm{p}}$,$\mathrm{p}-\overline{\mathrm{p}}$ in $\mathrm{Au}-\mathrm{Au}$ at $\sqrt{s_{\mathrm{NN}}}=200\,\mathrm{Ge\!V}$ . The correction for the $\Lambda$ contribution is not straight forward since BRAHMS does not measure the $\Lambda$s and PHENIX and STAR only measures the $\Lambda$s at mid-rapidity! If one assumes that the mid-rapidity estimated in the paper of  $$R=\frac{\Lambda-\bar{\Lambda}}{\mathrm{p}-\bar{\mathrm{p}}} = \frac{\Lambda}{\mathrm{p}} = \frac{\bar{\Lambda}}{\bar{\mathrm{p}}} = 0.93\pm 0.11(\mathrm{stat})\pm 0.25(\mathrm{syst}) $$ and the BRAHMS "acceptance factor" of  $A=0.53\pm 0.05$ which includes both that only 64% decays to protons and that some are rejected by the requirement of the track to point back to the IP. The corrected $\mathrm{p}$ ($\bar{\mathrm{p}}$ or net-$\mathrm{p}$) is then : $$\left.\frac{\mathrm{d}N}{\mathrm{d}y}\right|_{\mathrm{corrected}} = \frac{\mathrm{d}N}{\mathrm{d}y}(1/(1+RA))= \frac{\mathrm{d}N}{\mathrm{d}y}\left(0.67\pm 0.05(\mathrm{stat})\pm 0.11(\mathrm{syst})\right)$$ Which can be used at all rapidities if one believes that R is constant. The fact that net-$\mathrm{K}=\mathrm{K}^{+}-\mathrm{K}^{-}$ follows net-$\mathrm{p}$ (see fx. talk by Djamel Ouerdane at QM04), seems to indicate that the net-$\Lambda$ follow the net-$\mathrm{p}$ trend and the correction is reasonable.
#: data_file: tab2.yaml
#: keyword reactions: AU AU --> P | AU AU --> PBAR | AU AU --> P - PBAR
#: keyword observables: DN/DYRAP
#: keyword cmenergies: 200.0
#: keyword phrases: Rapidity Dependence | Density | Rapidity Dependence | Rapidity Dependence | Rapidity Dependence
#: PARTICLE,,,P
#: CENTRALITY [PCT],,,0-5
YRAP,YRAP LOW,YRAP HIGH,DN/DYRAP,stat +,stat -,sys +,sys -
-0.05,-0.1,0.0,26.1,0.35,-0.35,1.6,-1.6
0.05,0.0,0.1,26.6,0.59,-0.59,1.6,-1.6
0.45,0.4,0.5,25.0,0.63,-0.63,1.6,-1.6
0.55,0.5,0.6,25.5,0.61,-0.61,1.6,-1.6
0.8,0.75,0.85,24.7,0.41,-0.41,1.6,-1.6
0.8999999999999999,0.85,0.95,24.4,0.5,-0.5,1.6,-1.6
1.85,1.7,2.0,22.9,0.93,-0.93,3.5,-3.5
2.2,2.0,2.4,24.6,1.5,-1.5,3.5,-3.5
2.9000000000000004,2.7,3.1,16.9,0.3,-0.3,3.5,-3.5

#: PARTICLE,,,PBAR
#: CENTRALITY [PCT],,,0-5
YRAP,YRAP LOW,YRAP HIGH,DN/DYRAP,stat +,stat -,sys +,sys -
-0.05,-0.1,0.0,19.5,0.44,-0.44,1.3,-1.3
0.05,0.0,0.1,19.9,0.32,-0.32,1.3,-1.3
0.45,0.4,0.5,17.8,0.52,-0.52,1.3,-1.3
0.55,0.5,0.6,18.0,0.51,-0.51,1.3,-1.3
0.8,0.75,0.85,17.2,0.35,-0.35,1.3,-1.3
0.8999999999999999,0.85,0.95,16.6,0.44,-0.44,1.3,-1.3
1.85,1.7,2.0,12.4,0.51,-0.51,2.8,-2.8
2.2,2.0,2.4,11.4,1.2,-1.2,2.8,-2.8
2.9000000000000004,2.7,3.1,4.53,0.16,-0.16,0.9,-0.9

#: PARTICLE,,,P - PBAR
#: CENTRALITY [PCT],,,0-5
YRAP,YRAP LOW,YRAP HIGH,DN/DYRAP,stat +,stat -,sys +,sys -
-0.05,-0.1,0.0,6.32,0.55,-0.55,1.0,-1.0
0.05,0.0,0.1,7.08,0.68,-0.68,1.0,-1.0
0.45,0.4,0.5,7.09,0.82,-0.82,1.0,-1.0
0.55,0.5,0.6,7.33,0.81,-0.81,1.0,-1.0
0.8,0.75,0.85,7.67,0.58,-0.58,1.0,-1.0
0.8999999999999999,0.85,0.95,7.65,0.7,-0.7,1.0,-1.0
1.85,1.7,2.0,10.5,0.9,-0.9,2.8,-2.8
2.2,2.0,2.4,13.2,1.7,-1.7,2.8,-2.8
2.9000000000000004,2.7,3.1,12.4,0.33,-0.33,3.2,-3.2

