#: table_doi: 10.17182/hepdata.89449.v1/t9
#: name: Table 2
#: description: $\frac{\mathrm{d}N}{\mathrm{d}y}$ versus $y$ for $\mathrm{p}$,$\overline{\mathrm{p}}$ in $\mathrm{Au}-\mathrm{Au}$ at $\sqrt{s_{\mathrm{NN}}}=62.4\,\mathrm{Ge\!V}$ 
#: data_file: tab2.yaml
#: data_license:  http://arxiv.org/licenses/nonexclusive-distrib/1.0/ 
#: keyword reactions: AU AU --> P | AU AU --> PBAR
#: keyword observables: DN/DYRAP
#: keyword cmenergies: 62.4
#: keyword phrases: Rapidity Dependence | Density | Rapidity Dependence | Rapidity Dependence | Rapidity Dependence | Rapidity Dependence | Rapidity Dependence | Rapidity Dependence | Rapidity Dependence | Rapidity Dependence | Rapidity Dependence
#: PARTICLE,,,P
#: CENTRALITY [PCT],,,0-10
YRAP,YRAP LOW,YRAP HIGH,DN/DYRAP,stat +,stat -
0.0,-0.1,0.1,20.5,0.5,-0.5
0.65,0.4,0.9,21.5,0.2,-0.2
2.3,2.1,2.5,28.5,0.6,-0.6
3.0,2.92,3.08,26.7,0.6,-0.6

#: PARTICLE,,,PBAR
#: CENTRALITY [PCT],,,0-10
YRAP,YRAP LOW,YRAP HIGH,DN/DYRAP,stat +,stat -
0.0,-0.1,0.1,10.1,0.3,-0.3
0.65,0.4,0.9,9.0,0.1,-0.1
2.3,2.1,2.5,2.2,0.1,-0.1
3.0,2.92,3.08,0.6,0.1,-0.1

