#: table_doi: 10.17182/hepdata.89449.v1/t15
#: name: Table 5a
#: description: $\frac{\mathrm{d}N}{\mathrm{d}(y-y_{\mathrm{beam}})}\frac{2}{N_{\mathrm{part}}}$ versus $\mathrm{y}-\mathrm{y}_{\mathrm{beam}}$ for BARYON-ANTIBARYON in $\mathrm{Au}-\mathrm{Au}$ at $\sqrt{s_{\mathrm{NN}}}=200.0\,\mathrm{Ge\!V}$  for $0-10$% central
#: data_file: tab5a.yaml
#: data_license:  http://arxiv.org/licenses/nonexclusive-distrib/1.0/ 
#: keyword reactions: AU AU --> BARYON-ANTIBARYON
#: keyword observables: DN/D(YRAP-YRAP(BEAM))/(NPART/2)
#: keyword cmenergies: 200.0
#: keyword phrases: Rapidity Dependence | Density | Centrality Dependence | Phrases.YRAP_DEPENDENCE | Rapidity Dependence | Rapidity Dependence | Rapidity Dependence | Rapidity Dependence | Rapidity Dependence | Rapidity Dependence | Rapidity Dependence | Rapidity Dependence | Centrality Dependence | Centrality Dependence | Centrality Dependence | Centrality Dependence | Centrality Dependence | Centrality Dependence
#: CENTRALITY [PCT],,,0-10
#: YRAP(BEAM),,,5.4
#: SQRT(S)/NUCLEON,,,200.0
YRAP - YRAP(BEAM),YRAP - YRAP(BEAM) LOW,YRAP - YRAP(BEAM) HIGH,DN/D(YRAP-YRAP(BEAM))/(NPART/2),error +,error -
-5.412,-5.462,-5.362,0.032,0.014,-0.014
-5.311999999999999,-5.362,-5.262,0.044,0.015,-0.015
-4.912,-4.962,-4.862,0.053,0.016,-0.016
-4.811999999999999,-4.862,-4.762,0.058,0.016,-0.016
-4.561999999999999,-4.612,-4.512,0.066,0.015,-0.015
-4.462,-4.512,-4.412,0.067,0.016,-0.016
-3.512,-3.662,-3.362,0.108,0.036,-0.036
-3.162,-3.362,-2.962,0.142,0.04,-0.04
-2.4619999999999997,-2.662,-2.262,0.135,0.04,-0.04

